time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-20T14:30:18.228Z,61.7407,-148.2063,15.6,1.3,ml,,,,0.66,ak,ak15111229,2017-01-20T14:37:52.730Z,"34km E of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-20T14:19:23.465Z,60.2764,-152.5365,108.2,3.4,ml,,,,0.53,ak,ak15110583,2017-01-20T14:37:52.478Z,"25km SSE of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-01-20T14:06:26.120Z,-15.4245,-178.7383,413.91,4.5,mb,,95,3.845,0.76,us,us10007ubp,2017-01-20T14:31:41.040Z,"138km SSW of Sigave, Wallis and Futuna",earthquake,13.1,8.6,0.081,45,reviewed,us,us
2017-01-20T13:52:35.040Z,41.7742,42.9121,10,4.3,mb,,50,0.567,0.95,us,us10007ubk,2017-01-20T14:23:15.040Z,"9km NE of Abastumani, Georgia",earthquake,5.5,2,0.133,16,reviewed,us,us
2017-01-20T13:46:10.384Z,58.8194,-153.8621,0,1.9,ml,,,,0.58,ak,ak15110575,2017-01-20T13:57:09.230Z,"119km SSE of Old Iliamna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-20T13:04:20.530Z,38.3672,-118.9048,6.5,1.5,ml,11,112.79,0.325,,nn,nn00574789,2017-01-20T13:06:11.096Z,"30km SW of Hawthorne, Nevada",earthquake,,,,,automatic,nn,nn
2017-01-20T11:42:10.580Z,38.8388329,-122.8259964,1.88,1.34,md,21,47,0.007416,0.02,nc,nc72754295,2017-01-20T12:00:03.192Z,"9km WNW of Cobb, California",earthquake,0.21,0.4,0.03,4,automatic,nc,nc
2017-01-20T11:24:08.290Z,32.8655,-116.1966667,10.84,1.1,ml,16,67,0.1114,0.13,ci,ci37571743,2017-01-20T11:27:39.808Z,"24km NW of Ocotillo, CA",earthquake,0.29,0.72,0.149,15,automatic,ci,ci
2017-01-20T11:23:02.491Z,61.2948,-149.1667,30.7,1,ml,,,,0.45,ak,ak15110568,2017-01-20T11:29:50.145Z,"28km SSW of Butte, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-20T11:05:57.940Z,33.8675,-117.8723333,7.09,1.13,ml,19,83,0.07922,0.16,ci,ci37571727,2017-01-20T11:09:31.814Z,"1km SSW of Placentia, CA",earthquake,0.39,0.82,0.216,32,automatic,ci,ci
2017-01-20T10:30:26.440Z,34.7908333,-120.1378333,1.7,1.65,ml,12,65,0.1294,0.19,ci,ci37571719,2017-01-20T10:34:03.253Z,"14km ENE of Los Alamos, CA",earthquake,0.43,0.89,0.123,19,automatic,ci,ci
2017-01-20T09:56:20.600Z,19.7208,-64.0665,80,3.6,Md,14,270,1.81549519,0.5,pr,pr17020001,2017-01-20T10:26:05.959Z,"155km NNE of Road Town, British Virgin Islands",earthquake,6.2,19.6,0,9,reviewed,pr,pr
2017-01-20T09:54:08.260Z,38.289,76.6408,50.81,5.2,mb,,38,3.55,1,us,us10007ubb,2017-01-20T10:10:55.040Z,"54km WSW of Shache, China",earthquake,6.1,6.3,0.045,162,reviewed,us,us
2017-01-20T09:34:31.420Z,59.9614,-152.6433,94.8,1.4,ml,,,,0.76,ak,ak15109931,2017-01-20T09:46:24.449Z,"49km WNW of Anchor Point, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-01-20T09:03:34.490Z,34.0293333,-116.8428333,14.06,0.95,ml,24,79,0.02968,0.18,ci,ci37571711,2017-01-20T09:07:18.205Z,"12km NNE of Banning, CA",earthquake,0.3,0.66,0.172,29,automatic,ci,ci
2017-01-20T08:44:12.396Z,61.3215,-151.185,48.5,1.5,ml,,,,0.52,ak,ak15109927,2017-01-20T08:57:04.430Z,"69km W of Anchorage, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-01-20T08:41:20.707Z,61.2761,-150.552,50.6,1.5,ml,,,,0.5,ak,ak15109926,2017-01-20T08:50:48.095Z,"35km W of Anchorage, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-01-20T08:25:10.640Z,61.6052,-149.7481,28.9,1.4,ml,,,,0.39,ak,ak15109297,2017-01-20T08:36:53.869Z,"4km SE of Houston, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-20T08:22:26.460Z,19.3349991,-155.5783386,29.68,1.8,md,33,54,0.08188,0.13,hv,hv61570531,2017-01-20T08:25:41.230Z,"17km NW of Pahala, Hawaii",earthquake,0.43,0.94,0.15,6,automatic,hv,hv
2017-01-20T08:21:38.370Z,19.3269997,-155.274826,32.52,2.02,md,26,93,0.02627,0.17,hv,hv61570526,2017-01-20T08:24:47.470Z,"12km SSW of Volcano, Hawaii",earthquake,0.66,0.77,0.11,3,automatic,hv,hv
2017-01-20T08:20:46.040Z,-28.3328,-68.6093,101.98,4.2,mb,,77,1.547,1.31,us,us10007ua3,2017-01-20T08:54:08.040Z,"61km NW of Vinchina, Argentina",earthquake,6.2,11.5,0.216,6,reviewed,us,us
2017-01-20T08:20:03.740Z,47.262001,-123.8235016,-0.31,1.91,md,16,177,0.1334,0.28,uw,uw61229607,2017-01-20T08:22:48.170Z,"22km S of Quinault Census Designated Place, Washington",earthquake,1.11,2.84,0.11,4,automatic,uw,uw
2017-01-20T07:46:21.000Z,18.1476,-67.2705,20,2.4,Md,7,187.2,0.17696811,0.23,pr,pr17020002,2017-01-20T11:28:07.860Z,"11km NW of Puerto Real, Puerto Rico",earthquake,1.2,1.9,0,5,reviewed,pr,pr
2017-01-20T07:35:21.950Z,38.7504997,-122.6848297,0.7,1.78,md,6,148,0.02096,0.05,nc,nc72754225,2017-01-20T08:03:04.659Z,"6km W of Middletown, California",earthquake,0.53,0.8,0.14,5,automatic,nc,nc
2017-01-20T07:28:25.370Z,36.0896667,-117.8768333,2.5,1.21,ml,11,111,0.03305,0.14,ci,ci37571687,2017-01-20T07:31:57.733Z,"8km NE of Coso Junction, CA",earthquake,0.51,0.52,0.21,18,automatic,ci,ci
2017-01-20T07:23:12.081Z,63.1057,-150.7679,111.5,1.9,ml,,,,0.44,ak,ak15109294,2017-01-20T07:35:32.254Z,"93km NNW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-01-20T07:15:37.350Z,36.6933,-116.3138,12.6,1,ml,18,79.03,0.038,,nn,nn00574782,2017-01-20T07:17:25.613Z,"46km ESE of Beatty, Nevada",earthquake,,,,,automatic,nn,nn
2017-01-20T07:10:06.141Z,63.0738,-150.9455,128,1.8,ml,,,,0.37,ak,ak15109292,2017-01-20T07:21:58.536Z,"93km NNW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-01-20T06:25:31.580Z,38.802166,-122.7696686,-0.16,1.68,md,20,64,0.01403,0.05,nc,nc72754205,2017-01-20T06:40:02.487Z,"2km NNW of The Geysers, California",earthquake,0.17,0.58,0.17,8,automatic,nc,nc
2017-01-20T06:21:07.540Z,32.8555,-116.211,4.28,1.77,ml,44,65,0.115,0.24,ci,ci37571671,2017-01-20T06:31:44.690Z,"24km WNW of Ocotillo, CA",earthquake,0.32,1.31,0.145,26,automatic,ci,ci
2017-01-20T06:18:33.960Z,32.8553333,-116.2038333,7.48,1.47,ml,36,68,0.1099,0.23,ci,ci37571663,2017-01-20T06:29:39.960Z,"24km NW of Ocotillo, CA",earthquake,0.35,1.79,0.168,28,automatic,ci,ci
2017-01-20T06:06:37.035Z,62.9469,-150.5159,89,1.8,ml,,,,0.32,ak,ak15108660,2017-01-20T06:18:05.530Z,"72km NNW of Talkeetna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2017-01-20T05:58:06.906Z,63.4072,-151.5301,0,1.4,ml,,,,0.86,ak,ak15108659,2017-01-20T06:11:49.237Z,"128km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-20T05:45:29.900Z,32.8493333,-116.2058333,7.24,1.06,ml,20,84,0.108,0.25,ci,ci37571519,2017-01-20T05:49:03.255Z,"24km WNW of Ocotillo, CA",earthquake,0.49,1.4,0.123,14,automatic,ci,ci
2017-01-20T05:38:19.180Z,19.2040005,-155.4589996,37.5,1.87,md,46,109,0.04842,0.14,hv,hv61570331,2017-01-20T05:41:45.970Z,"2km E of Pahala, Hawaii",earthquake,0.52,0.84,0.04,10,automatic,hv,hv
2017-01-20T05:34:00.545Z,61.2502,-153.5207,21.6,1.7,ml,,,,0.65,ak,ak15108657,2017-01-20T05:44:42.415Z,"95km NNW of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-01-20T05:07:18.000Z,18.274,-64.745,33,3.1,Md,3,342,0.5111414,0.07,pr,pr17020000,2017-01-20T07:07:07.354Z,"20km SW of Road Town, British Virgin Islands",earthquake,1.9,2.9,0,3,reviewed,pr,pr
2017-01-20T04:59:03.400Z,19.2143326,-155.4589996,38.08,2.34,md,52,106,0.05074,0.14,hv,hv61570261,2017-01-20T05:02:20.890Z,"2km ENE of Pahala, Hawaii",earthquake,0.55,0.67,0.18,31,automatic,hv,hv
2017-01-20T04:33:35.980Z,34.586,-116.2738333,6.36,1.52,ml,14,83,0.1398,0.14,ci,ci37571511,2017-01-20T04:37:07.938Z,"18km SW of Ludlow, CA",earthquake,0.33,1.37,0.167,28,automatic,ci,ci
2017-01-20T04:15:17.411Z,61.5244,-140.9132,2.3,1.6,ml,,,,0.35,ak,ak15108651,2017-01-20T04:22:09.554Z,"182km NNE of Cape Yakataga, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-20T04:11:57.525Z,58.421,-153.2936,56.9,1.9,ml,,,,0.53,ak,ak15108648,2017-01-20T04:22:09.322Z,"83km NNW of Kodiak Station, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-01-20T03:50:42.410Z,34.0188333,-116.7823333,18.76,1.11,ml,24,75,0.1133,0.24,ci,ci37571495,2017-01-20T03:54:23.459Z,"11km N of Cabazon, CA",earthquake,0.45,1.07,0.168,25,automatic,ci,ci
2017-01-20T03:47:42.420Z,26.6493,66.2529,10,4.5,mb,,222,8.224,0.68,us,us10007u9i,2017-01-20T04:14:26.040Z,"47km N of Bela, Pakistan",earthquake,11.1,2,0.125,19,reviewed,us,us
2017-01-20T03:43:59.190Z,38.7888336,-122.7348328,1.35,1.07,md,8,90,0.005781,0.01,nc,nc72754180,2017-01-20T03:59:02.123Z,"2km NE of The Geysers, California",earthquake,0.44,0.74,0.17,3,automatic,nc,nc
2017-01-20T03:43:58.750Z,8.8849,126.7338,54.02,4.9,mb,,89,2.135,0.86,us,us10007u9g,2017-01-20T04:02:57.040Z,"47km E of Aras-asan, Philippines",earthquake,9.9,6.6,0.069,68,reviewed,us,us
